Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Networking,E505-1604-58F8,Networking Cloud Nat Gateway Uptime,32E2-4EFC-EF9F,"9,100.915",hour,12.74,-1.78,0.00,0.00,10.956883,10.96,20%
Compute Engine,6F81-5844-456A,Storage Machine Image in Asia,94B7-C7FA-15DA,248.05,gibibyte month,12.40,-1.74,0.00,0.00,10.660610,10.66,0%
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Additional for Taiwan (asia-east1),CFA5-0398-8BDD,963.693,hour,9.64,-1.35,0.00,0.00,8.287356,8.29,-52%
Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from APAC to Americas,BA42-F93F-B1CE,89.941,gibibyte,10.79,-2.70,0.00,0.00,8.094506,8.09,-6%
App Engine,F17B-412E-CB64,Frontend Instances Hong Kong,783C-E6B8-E192,"1,505.955",hour,7.44,-1.04,0.00,0.00,6.396283,6.40,252%
Compute Engine,6F81-5844-456A,Storage Image,DAA2-253C-6680,142.747,gibibyte month,7.13,-1.00,0.00,0.00,6.133714,6.13,0%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage US Multi-region,0D5D-6E23-4250,270.358,gibibyte month,7.01,-0.98,0.00,0.00,6.024379,6.02,2%
Networking,E505-1604-58F8,Networking Cloud Nat Data Processing,015F-5732-FFF0,140.647,gibibyte,6.33,-0.89,0.00,0.00,5.442826,5.44,-93%
Networking,E505-1604-58F8,Networking Cloud Armor Rule,A321-89BD-F5BC,5.999,month,6.00,-0.84,0.00,0.00,5.155662,5.16,0%
Cloud Storage,95FF-2EF5-5EA1,Multi-Region Autoclass Standard Class A Operations,8A62-CD3F-214D,"472,749",count,4.73,-0.66,0.00,0.00,4.065633,4.07,254%
Networking,E505-1604-58F8,Networking Cloud NAT IP Usage,8515-9425-D2CE,671.87,hour,3.36,-0.47,0.00,0.00,2.888540,2.89,-9%
Cloud Key Management Service (KMS),EE2F-D110-890C,Active HSM RSA 2048 bit key versions,1686-718D-035F,3,month,3.00,-0.42,0.00,0.00,2.578392,2.58,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Japan,569D-6EF9-3DDD,34.827,gibibyte,2.79,-0.70,0.00,0.00,2.089487,2.09,-97%
Artifact Registry,149C-F9EC-3994,Artifact Registry Network Inter Region Egress Intercontinental (Excl Oceania),F867-73D9-ACCD,18.204,gibibyte,1.46,-0.36,0.00,0.00,1.092162,1.09,21%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Taiwan (asia-east1),1323-93F5-4A9B,151.835,gibibyte,1.20,-0.17,0.00,0.00,1.034694,1.03,-20%
Networking,E505-1604-58F8,Networking Cloud Armor Requests,1A87-DEB9-C4BE,"1,425,206",count,1.06,-0.15,0.00,0.00,0.911911,0.91,-8%
Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class B Operations,8AE7-5BBD-8F38,"2,113,996",count,0.85,-0.12,0.00,0.00,0.727109,0.73,14%
Cloud DNS,FA26-5236-B8B5,ManagedZone,8C22-6FC3-D478,4,month,0.80,-0.11,0.00,0.00,0.686686,0.69,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions Idle Min-Instance Memory Allocation Time in asia-east1,C825-7C87-0003,"699,715.835",gibibyte second,1.75,-0.24,-0.85,0.00,0.650040,0.65,-32%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from APAC to Americas,16CF-89EF-CC17,4.429,gibibyte,0.53,-0.13,0.00,0.00,0.393667,0.39,77%
Compute Engine,6F81-5844-456A,Storage Machine Image,A652-E97D-AB77,8.831,gibibyte month,0.44,-0.06,0.00,0.00,0.378880,0.38,0%
Cloud Storage,95FF-2EF5-5EA1,Autoclass Standard Storage Asia Multi-region,F022-AD5D-C7E1,11.972,gibibyte month,0.31,-0.04,0.00,0.00,0.267466,0.27,800%
Cloud Storage,95FF-2EF5-5EA1,Autoclass Management Fee,CF60-426C-8557,"320,124,797,656",second,0.31,-0.04,0.00,0.00,0.265495,0.27,93%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Americas,9DD2-181C-279A,3.965,gibibyte,0.31,-0.08,0.00,0.00,0.230666,0.23,-4%
Cloud Storage,95FF-2EF5-5EA1,Multi-Region Autoclass Standard Class B Operations,EE2A-F4B6-2D07,"657,690",count,0.26,-0.04,0.00,0.00,0.226213,0.23,283%
Cloud Storage,95FF-2EF5-5EA1,Autoclass Nearline Storage Asia Multi-region,A6FE-495D-EAE8,12.537,gibibyte month,0.19,-0.03,0.00,0.00,0.160686,0.16,23%
Cloud Key Management Service (KMS),EE2F-D110-890C,Active software symmetric key versions,E09C-32B3-9AC7,3,month,0.17,-0.02,0.00,0.00,0.150235,0.15,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from APAC to APAC,F4D7-10B0-0F95,1.029,gibibyte,0.20,-0.05,0.00,0.00,0.146292,0.15,88%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from APAC to EMEA,F91A-E0CA-2AED,1.35,gibibyte,0.16,-0.04,0.00,0.00,0.117129,0.12,-50%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions (1st Gen) Invocations,8E10-82EB-6917,"2,211,183",count,0.08,-0.01,0.00,0.00,0.072360,0.07,-77%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from APAC to China,095B-F9A9-8693,0.243,gibibyte,0.05,-0.01,0.00,0.00,0.040172,0.04,0%
Networking,E505-1604-58F8,Regional External Passthrough Network Load Balancer Inbound Data Processing for Taiwan (asia-east1),3B8D-D41C-EE09,3.011,gibibyte,0.02,-0.00,0.00,0.00,0.020273,0.02,
Cloud Storage,95FF-2EF5-5EA1,Nearline Storage Taiwan,106C-0ED9-8989,2.306,gibibyte month,0.02,-0.00,0.00,0.00,0.019748,0.02,0%
Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class A Operations,9ADA-9AED-1B24,"3,987",count,0.04,-0.02,0.00,0.00,0.017078,0.02,-86%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Sao Paulo,F355-6044-09C2,0.117,gibibyte,0.01,-0.00,0.00,0.00,0.010039,0.01,0%
Cloud Storage,95FF-2EF5-5EA1,Download China,4980-950B-BDA6,0.055,gibibyte,0.01,-0.00,0.00,0.00,0.009539,0.01,
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Singapore,6540-B94F-D381,0.23,gibibyte,0.02,-0.01,0.00,0.00,0.009329,0.01,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from APAC to Australia,DE01-6833-719A,0.061,gibibyte,0.01,-0.00,0.00,0.00,0.008575,0.01,
Cloud Storage,95FF-2EF5-5EA1,Download Australia,9B2D-2B7D-FA5C,0.059,gibibyte,0.01,-0.00,0.00,0.00,0.008347,0.01,
Cloud Storage,95FF-2EF5-5EA1,Autoclass Coldline Storage Taiwan,1229-1A7F-79D8,1.617,gibibyte month,0.01,-0.00,0.00,0.00,0.006917,0.01,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Osaka,357F-FB68-D913,0.087,gibibyte,0.01,-0.00,0.00,0.00,0.005196,0.01,-97%
