Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Vertex AI,C7E2-9256-1C43,Gemini 1.5 Pro Text Input - Predictions,DDF5-77FD-8CF2,"332,424",count,0.10,-0.01,0.00,0.00,0.089329,0.09,New
Vertex AI,C7E2-9256-1C43,Imagen 3 Generation (output),B5BE-136B-2CA1,2,count,0.08,-0.01,0.00,0.00,0.068800,0.07,-50%
Gemini API,AEFD-7695-64FA,Gemini Pro Input Tokens,AC9B-C746-1501,"127,049",count,0.06,0.00,0.00,0.00,0.063449,0.06,New
Vertex AI,C7E2-9256-1C43,Gemini 1.5 Pro Text Output - Predictions,08EC-FFFC-41AF,"52,612",count,0.07,-0.01,0.00,0.00,0.056550,0.06,New
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Taiwan to Apac(Excluding Korea and Indonesia),39C4-C178-DBED,0.632,gibibyte,0.08,-0.02,0.00,0.00,0.056331,0.06,20%
Compute Engine,6F81-5844-456A,Network Data Transfer Out via Carrier Peering Network - Americas Based,984A-1F27-2D1F,1.656,gibibyte,0.07,-0.01,0.00,0.00,0.055832,0.06,0%
Cloud Key Management Service (KMS),EE2F-D110-890C,Active software symmetric key versions,E09C-32B3-9AC7,1,month,0.06,-0.01,0.00,0.00,0.049576,0.05,0%
Compute Engine,6F81-5844-456A,Storage PD Snapshot in US,34CF-7D88-5D40,1.94,gibibyte month,0.13,-0.08,0.00,0.00,0.042782,0.04,0%
Vertex AI,C7E2-9256-1C43,Gemini 1.5 Flash Text Output - Predictions,34CE-11E0-D24D,"650,651",count,0.05,-0.01,0.00,0.00,0.041876,0.04,100%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Iowa (us-central1),C134-B6DB-FFCB,5.66,gibibyte,0.04,-0.01,0.00,0.00,0.035111,0.04,0%
Compute Engine,6F81-5844-456A,Storage Image,DAA2-253C-6680,0.806,gibibyte month,0.04,-0.01,0.00,0.00,0.034085,0.03,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from APAC to China,095B-F9A9-8693,0.185,gibibyte,0.04,-0.01,0.00,0.00,0.031481,0.03,50%
Vertex AI,C7E2-9256-1C43,Metadata storage,AEEB-1CC1-1A3A,0.003,gibibyte month,0.03,-0.00,0.00,0.00,0.023393,0.02,0%
Cloud Memorystore for Redis,5AF5-2C11-D467,"Cloud Memorystore: Networking Traffic Egress GCP Inter Region Intercontinental excl Oceania, Indonesia",680A-B86E-8AE7,0.358,gibibyte,0.03,-0.01,0.00,0.00,0.021429,0.02,-33%
Gemini API,AEFD-7695-64FA,Gemini Pro Output Tokens,C900-69A8-6D5A,"13,340",count,0.02,0.00,0.00,0.00,0.019949,0.02,New
Networking,E505-1604-58F8,Networking Telemetry,D591-959F-0D6C,0.077,gibibyte,0.02,-0.00,0.00,0.00,0.014651,0.01,-50%
