Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Compute Engine,6F81-5844-456A,Network Data Transfer Out via Carrier Peering Network - Americas Based,984A-1F27-2D1F,"44,462.39",gibibyte,1778.48,-248.99,0.00,0.00,1529.487879,1529.49,-15%
Networking,E505-1604-58F8,Networking Cloud Nat Data Processing,015F-5732-FFF0,"38,893.33",gibibyte,1750.20,-245.03,0.00,0.00,1505.169128,1505.17,-22%
Compute Engine,6F81-5844-456A,External IP Charge on a Standard VM,C054-7F72-A02E,"340,780.361",hour,1700.52,-238.08,0.00,0.00,1462.440634,1462.44,-6%
Compute Engine,6F81-5844-456A,Commitment v1: N2 Ram in APAC for 1 Year,B884-99AE-D0DB,"549,282.456",gibibyte hour,1697.83,-254.67,0.00,0.00,1443.156365,1443.16,-10%
Cloud Dataflow,57D6-8E6B-2DE0,vCPU Time Streaming Iowa,7DA8-1ADF-661B,"23,643.791",hour,1631.42,-228.40,0.00,0.00,1403.016220,1403.02,-2%
BigQuery,24E6-581D-38E5,Long Term Logical Storage,993F-6B6B-DCC4,"146,001.222",gibibyte month,1457.43,-204.04,0.00,0.00,1253.386306,1253.39,4%
Compute Engine,6F81-5844-456A,Commitment v1: N2 Ram in Americas for 1 Year,2F6C-EB97-C718,"533,838.083",gibibyte hour,1424.81,-213.72,0.00,0.00,1211.090731,1211.09,-10%
BigQuery,24E6-581D-38E5,Streaming Insert,934C-4547-E59A,"26,845,621.263",mebibyte,1342.28,-187.92,0.00,0.00,1154.355823,1154.36,-9%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - vCPU in Americas,741F-D668-2417,"32,256",hour,1332.17,-186.50,0.00,0.00,1145.668608,1145.67,-10%
Notebooks,D73B-5EEA-8215,Workbench Instances GPU for GCE usage - V100 in asia-east1,B4C4-897D-D51A,441.207,hour,1313.03,-183.82,0.00,0.00,1129.206433,1129.21,-34%
Compute Engine,6F81-5844-456A,Licensing Fee for SQL Server 2016 Enterprise on VM with 1 to 4 VCPU,5ABD-DB6B-59B9,671.868,hour,1072.30,0.00,0.00,0.00,1072.301565,1072.30,-10%
Compute Engine,6F81-5844-456A,Commitment v1: N2D AMD Ram in Americas for 1 Year,02B2-13AB-C4A0,"535,181.072",gibibyte hour,1242.69,-186.40,0.00,0.00,1056.285938,1056.29,-10%
Compute Engine,6F81-5844-456A,Custom Extended Instance Ram running in APAC,171B-A8E4-FD07,"121,944.103",gibibyte hour,1348.58,-337.15,0.00,0.00,1011.432575,1011.43,-21%
Notebooks,D73B-5EEA-8215,Workbench Instances GPU for GCE usage - A100(80 GB) in us-central1,3624-9A8E-546A,237.941,hour,1121.58,-157.02,0.00,0.00,964.560454,964.56,346%
Cloud Pub/Sub,A1E8-BE35-7EBC,Message Delivery Basic,027D-B6C7-CCA2,27.371,tebibyte,1094.33,-153.22,0.00,0.00,941.115248,941.12,-10%
Cloud Monitoring,58CD-E7C3-72CA,Monitoring API Requests,3ECE-36FE-BD9D,"104,207,233",Requests,1032.07,-144.50,0.00,0.00,887.570237,887.57,-11%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - RAM in APAC,21BA-13B1-D9C5,"141,456",gibibyte hour,990.19,-138.63,0.00,0.00,851.565120,851.57,-10%
Kubernetes Engine,CCD8-9BF1-090E,Autopilot Pod Memory Requests (asia-east1),1DA3-FD2A-F2F0,"166,818.763",gibibyte hour,950.83,-133.12,0.00,0.00,817.710131,817.71,-12%
Cloud Storage,95FF-2EF5-5EA1,Regional Coldline Class B Operations,B2C2-1D02-E27F,"184,670,766",count,1846.71,-1052.62,0.00,0.00,794.084238,794.08,-22%
Kubernetes Engine,CCD8-9BF1-090E,Zonal Kubernetes Clusters,6B92-A835-08AB,"9,406.164",hour,940.61,-131.69,-43.40,0.00,765.524114,765.52,-10%
Cloud Storage,95FF-2EF5-5EA1,Nearline Storage Oregon,60F4-EDF6-004B,"88,523.408",gibibyte month,882.15,-123.50,0.00,0.00,758.647542,758.65,-2%
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Additional for Taiwan (asia-east1),CFA5-0398-8BDD,"81,967.937",hour,819.68,-114.76,0.00,0.00,704.923140,704.92,-10%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - Standard storage in APAC,1393-84CE-E1E0,"4,763.1",gibibyte month,809.30,-113.30,0.00,0.00,695.995668,696.00,-20%
Compute Engine,6F81-5844-456A,Commitment v1: E2 Cpu in APAC for 1 Year,472E-5955-4D82,"47,004.611",hour,747.88,-104.70,0.00,0.00,643.180361,643.18,-10%
Notebooks,D73B-5EEA-8215,Workbench Instances GPU for GCE usage - A100(40 GB) in asia-southeast1,CB14-FD3D-86A4,198.067,hour,737.18,-103.21,0.00,0.00,633.973633,633.97,36%
Cloud Storage,95FF-2EF5-5EA1,Cloud CDN Asia Pacific Intra-Region Cache Fill,574C-E63A-EDCC,"35,142.733",gibibyte,702.80,-98.40,0.00,0.00,604.396550,604.40,-13%
Cloud Storage,95FF-2EF5-5EA1,Download Worldwide Destinations (excluding Asia & Australia),22EB-AAE8-FBCD,"7,205.692",gibibyte,790.87,-197.72,0.00,0.00,593.149200,593.15,-9%
Kubernetes Engine,CCD8-9BF1-090E,Autopilot Kubernetes Clusters,F52D-A61F-C7D1,"6,718.689",hour,671.87,-94.06,-31.00,0.00,546.803513,546.80,-10%
Compute Engine,6F81-5844-456A,E2 Instance Core running in APAC,92C8-7C92-6AEF,"55,265.472",hour,1395.74,-348.94,-504.45,0.00,542.356850,542.36,-9%
Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Japan,9050-A990-A974,"16,628.939",hour,675.43,-168.86,0.00,0.00,506.573901,506.57,4%
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Additional for Americas (multi-region),CCD0-28AC-2618,"57,780.677",hour,577.81,-80.89,0.00,0.00,496.913434,496.91,-10%
Cloud Storage,95FF-2EF5-5EA1,NA-based Storage Data Transfer Out via peered/interconnect network,B1FE-19F7-6D1B,"13,987.489",gibibyte,559.50,-78.33,0.00,0.00,481.169558,481.17,-5%
BigQuery,24E6-581D-38E5,Long-Term Physical Storage (US),2FAA-620A-0686,"27,972.366",gibibyte month,558.29,-78.16,0.00,0.00,480.126555,480.13,2%
Compute Engine,6F81-5844-456A,N2 Instance Ram running in Americas,5B01-D157-A097,"681,881.812",gibibyte hour,2889.13,-722.28,-1696.05,0.00,470.797330,470.80,-24%
Cloud SQL,9662-B51E-5089,Storage PD Snapshot,66AB-BA17-351C,"6,744.151",gibibyte month,539.31,-75.51,0.00,0.00,463.808869,463.81,13%
Networking,E505-1604-58F8,Networking Cloud CDN Traffic Cache Data Transfer to Asia,6C5E-44C4-703A,"65,686.935",gibibyte,4248.34,-3788.60,0.00,0.00,459.736252,459.74,-10%
Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Basic M2 Taiwan,D7A5-399D-1941,"13,437.394",gibibyte hour,524.06,-73.37,0.00,0.00,450.689356,450.69,-10%
Vertex AI,C7E2-9256-1C43,Vertex AI: Online/Batch Prediction Nvidia Tesla T4 GPU running in Americas for AI Platform,BE5E-535F-BBF0,"1,285.659",hour,516.83,-72.36,0.00,0.00,444.475036,444.48,-39%
Compute Engine,6F81-5844-456A,Nvidia Tesla T4 GPU running in Japan,01F6-D833-EC61,"1,343.703",hour,497.17,-69.60,0.00,0.00,427.565645,427.57,44%
Cloud Vision API,C08E-37B9-80D3,Label Detection Operations,C869-A3DF-2D6D,"315,110",count,471.16,-65.96,0.00,0.00,405.201900,405.20,-5%
Compute Engine,6F81-5844-456A,Static Ip Charge,66A2-68EA-56BE,"45,688.509",hour,456.86,-63.96,0.00,0.00,392.899506,392.90,-10%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage US Regional,E5F0-6A5D-7BAD,"22,777.887",gibibyte month,453.87,-63.54,0.00,0.00,390.325858,390.33,0%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - RAM in Americas,49E9-5D00-B807,"64,512",gibibyte hour,451.58,-63.22,0.00,0.00,388.362240,388.36,-10%
Compute Engine,6F81-5844-456A,SSD backed PD Capacity in Japan,704E-4991-FEE8,"1,961.301",gibibyte month,433.27,-60.66,0.00,0.00,372.614520,372.61,0%
Compute Engine,6F81-5844-456A,Licensing Fee for CloudSQL SQL Server 2017 Standard on VM with 1 to 4 VCPU,B18B-D9F5-7A68,671.868,hour,349.37,0.00,0.00,0.00,349.371148,349.37,-10%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage US Multi-region,0D5D-6E23-4250,"15,461.822",gibibyte month,400.62,-56.09,0.00,0.00,344.535809,344.54,0%
Cloud Storage,95FF-2EF5-5EA1,Autoclass Nearline Storage Oregon,60F9-1D81-0AF7,"37,995.326",gibibyte month,379.91,-53.19,0.00,0.00,326.725452,326.73,6808%
Cloud Composer,1992-3666-B975,Medium Cloud Composer Environment Fee (us-west1).,6502-F739-24ED,671.501,hour,369.32,-51.70,0.00,0.00,317.618092,317.62,-10%
Cloud Filestore,D97E-AB26-5D95,Filestore Capacity Basic HDD (Standard) Taiwan,8424-E89C-4CBE,"2,047.603",gibibyte month,368.42,-51.58,0.00,0.00,316.841840,316.84,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from APAC to Americas,16CF-89EF-CC17,"3,722.707",gibibyte,419.68,-104.93,0.00,0.00,314.749993,314.75,-13%
Compute Engine,6F81-5844-456A,N1 Predefined Instance Ram running in Japan,A444-A355-F28C,"77,139.284",gibibyte hour,418.02,-104.50,0.00,0.00,313.511159,313.51,10%
Compute Engine,6F81-5844-456A,Licensing Fee for Windows Server 2016 Datacenter Edition (CPU cost),00B2-37B0-B8BB,"6,718.683",hour,309.06,0.00,0.00,0.00,309.058180,309.06,-10%
Compute Engine,6F81-5844-456A,N2 Instance Ram running in APAC,2297-D3C7-1085,"554,487.364",gibibyte hour,2720.31,-680.08,-1741.80,0.00,298.429479,298.43,-30%
BigQuery,24E6-581D-38E5,Active Logical Storage,947D-3B46-7781,"17,344.867",gibibyte month,346.09,-48.45,0.00,0.00,297.637947,297.64,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Americas,C8EA-1A86-3D28,"19,785.664",gibibyte,395.68,-98.92,0.00,0.00,296.761944,296.76,47%
Compute Engine,6F81-5844-456A,Commitment v1: E2 Ram in APAC for 1 Year,61AA-533A-DFDD,"158,472.689",gibibyte hour,337.96,-47.31,0.00,0.00,290.648962,290.65,-10%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Regional - vCPU in APAC,F3D9-7F4B-CDDD,"4,032",hour,333.04,-46.63,0.00,0.00,286.417152,286.42,-10%
Cloud Dataflow,57D6-8E6B-2DE0,Local Disk Time PD Standard Iowa,74FC-29F5-37EE,"5,856,271.072",gibibyte hour,316.23,-44.28,0.00,0.00,271.957138,271.96,-9%
Cloud Dataflow,57D6-8E6B-2DE0,RAM Time Streaming Iowa,8A4F-EDB2-2A96,"88,665.678",gibibyte hour,315.38,-44.15,0.00,0.00,271.221835,271.22,-2%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Regional - RAM in APAC,3658-3590-0FE5,"22,512",gibibyte hour,315.17,-44.12,0.00,0.00,271.044480,271.04,-10%
Compute Engine,6F81-5844-456A,Custom Instance Core running in Americas,ACBC-6999-A1C4,"13,437.366",hour,446.01,-111.50,-66.75,0.00,267.752821,267.75,-10%
Vertex AI,C7E2-9256-1C43,Vertex AI: Online/Batch Prediction N1 Predefined Instance Core running in Americas for AI Platform,84D9-B3FA-0886,"8,436.632",hour,303.72,-42.52,0.00,0.00,261.195946,261.20,-26%
Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Basic M1 Taiwan,DAAD-629E-BD04,"4,703.088",gibibyte hour,301.00,-42.14,0.00,0.00,258.857186,258.86,-10%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to APAC,2583-7659-D94A,"4,293.486",gibibyte,343.39,-85.85,0.00,0.00,257.540226,257.54,-18%
Compute Engine,6F81-5844-456A,Spot Preemptible N1 Predefined Instance Core running in APAC,A394-399A-D2D0,"35,940.941",hour,252.66,0.00,0.00,0.00,252.662317,252.66,-3%
Cloud Run,152E-C115-5142,Services NVIDIA L4 GPU with no zonal redundancy in us-central1,2EEE-0BBD-C718,"1,071,860.924",second,249.74,0.00,0.00,0.00,249.743221,249.74,19879%
Cloud Dataflow,57D6-8E6B-2DE0,vCPU Time Streaming Taiwan,9769-B3C3-5C2B,"4,030.451",hour,290.19,-40.63,0.00,0.00,249.564348,249.56,-10%
Compute Engine,6F81-5844-456A,N2D AMD Instance Ram running in Americas,5535-6D2D-4B50,"623,493.813",gibibyte hour,2298.20,-574.55,-1477.01,0.00,246.640445,246.64,-8%
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum Global,DEE3-C42E-3E4D,"11,421.762",hour,285.54,-39.98,0.00,0.00,245.560751,245.56,-10%
Networking,E505-1604-58F8,Regional External Passthrough Network Load Balancer Inbound Data Processing for Oregon (us-west1),0141-1398-7370,"35,505.026",gibibyte,284.04,-39.77,0.00,0.00,244.273095,244.27,-10%
Compute Engine,6F81-5844-456A,E2 Instance Ram running in APAC,FD4D-A383-8DAB,"211,655.467",gibibyte hour,716.47,-179.12,-298.68,0.00,238.677290,238.68,-11%
Artifact Registry,149C-F9EC-3994,Artifact Registry Storage,8502-299A-ABAF,"2,756.844",gibibyte month,275.51,-38.57,0.00,0.00,236.936468,236.94,-3%
Networking,E505-1604-58F8,Regional Internal Passthrough Network Load Balancer Inbound Data Processing for Oregon (us-west1),B595-22C9-6B93,"30,935.535",gibibyte,247.48,-34.65,0.00,0.00,212.835633,212.84,-8%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Americas,9DD2-181C-279A,"3,480.145",gibibyte,278.35,-69.60,0.00,0.00,208.750834,208.75,18%
Compute Engine,6F81-5844-456A,Nvidia Tesla T4 GPU running in APAC,8795-7C9F-4FD9,675.441,hour,236.40,-33.10,0.00,0.00,203.307362,203.31,-10%
Compute Engine,6F81-5844-456A,Licensing Fee for Windows Server 2012 R2 Datacenter Edition (CPU cost),A810-D2CD-3CDD,"4,032.681",hour,185.50,0.00,0.00,0.00,185.502093,185.50,-10%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Oregon (us-west1),2998-2185-EA3D,"26,142.222",gibibyte,209.13,-29.28,0.00,0.00,179.849764,179.85,-11%
Notebooks,D73B-5EEA-8215,Workbench Instances RAM for GCE usage - A2 Instance RAM in us-central1,B843-1F07-F957,"40,962.492",gibibyte hour,208.27,-29.16,0.00,0.00,179.111795,179.11,251%
Vertex AI,C7E2-9256-1C43,Imagen 3 Generation (output),B5BE-136B-2CA1,"5,090",count,203.60,-28.50,0.00,0.00,175.096000,175.10,New
Compute Engine,6F81-5844-456A,Commitment v1: E2 Cpu in EMEA for 1 Year,D1E6-0FB3-0BF6,"13,429.889",hour,203.00,-28.42,0.00,0.00,174.582439,174.58,-10%
Compute Engine,6F81-5844-456A,Balanced PD Capacity in Japan,6D8C-DF09-314D,"1,545.7",gibibyte month,200.86,-28.12,0.00,0.00,172.738060,172.74,32%
Cloud Composer,1992-3666-B975,Cloud Composer Compute mCPUs (us-west1),92BA-2CBF-591F,"4,367,170.967",hour,196.52,-27.51,0.00,0.00,169.008934,169.01,-10%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Tokyo to Apac(Excluding Korea and Indonesia),B455-917B-2122,"1,951.047",gibibyte,224.84,-56.21,0.00,0.00,168.630241,168.63,3%
Cloud Natural Language,04C4-B046-D8B2,Content Moderation Operations,4A52-08FD-AF8B,"430,003",count,190.00,-26.60,0.00,0.00,163.401290,163.40,-15%
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum for Taiwan (asia-east1),FA8C-51C0-A961,"7,390.552",hour,184.76,-25.87,0.00,0.00,158.892251,158.89,-10%
